CONCEPT,kara1474,kara_cv,kara_rlm,botl1242,botl_cv,botl_rlm,akhv1239,akhv_cv,akhv_rlm,ghod1238,ghod_cv,ghod_rlm,andi1255,andi_cv,andi_rlm,cham1309,cham_cv,cham_rlm,tind1238,tind_cv,tind_rlm,bagv1239,bagv_cv,bagv_rlm,bor
"(возглас, которым отгоняют, подгоняют коров)_382.0",,,,ʕaj,CVC,CVj,,,,,,,,,,,,,,,,,,,
"(возглас, которым отгоняют, понукают коров)_391.0",,,,hiz'o,CVCV,CVCV,,,,,,,,,,,,,,,,,,,
"(возглас, которым отоняют овец)_399.0",,,,,,,,,,,,,,,,,,,,,,tsit,CVC,CVC,
"(возглас, которым поворачивают быков кверху)_413.0",,,,,,,,,,,,,,,,,,,ɬal'a,CVCV,CVlV,,,,
"(возглас, которым погоняют быка во время обмолота)_417.0",,,,,,,,,,,,,,,,,,,,,,ʕ'ajhandaːr,CVCCVCCVC,CVjCVnCVr,
"(возглас, которым погоняют быков во время пахоты)_426.0",,,,,,,,,,,,,,,,,,,,,,ʕajtɬ''eː,CVCCCV,CVjCCV,
"(возглас, которым погоняют быков)_435.0",,,,,,,,,,,,,,,,,,,,,,ʕajts''eː,CVCCV,CVjCV,
"(возглас, которым погоняют волов)_442.0",oha,VCV,VCV,,,,w'oːha,CVCV,wVCV,,,,,,,,,,,,,,,,
"(возглас, которым погоняют или прогоняют телят)_454.0",,,,hujtsh'ujts,CVCCCVCC,CVjCCVjC,,,,,,,,,,,,,,,,,,,
"(возглас, которым погоняют коров)_460.0",,,,,,,hoː,CV,CV,,,,,,,,,,,,,,,,
"(возглас, которым погоняют коров)_466.0",jesː'i,CVCV,jVCV,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым погоняют корову)_474.0",,,,,,,,,,haj,CVC,CVj,,,,,,,,,,,,,
"(возглас, которым погоняют крупный рогатый скот)_480.0",,,,haj,CVC,CVj,,,,ʕaj,CVC,CVj,,,,ʕaj,CVC,CVj,,,,ʕaj,CVC,CVj,
"(возглас, которым погоняют крупный рогатый скот)_485.0",,,,,,,,,,,,,,,,,,,t'eːtʃʷ,CVCC,CVCC,,,,
"(возглас, которым погоняют лошадь)_488.0",,,,,,,,,,,,,mp'wo,CCCV,mCwV,,,,,,,,,,
"(возглас, которым погоняют лошадь)_491.0",,,,,,,,,,huj,CVC,CVj,,,,h'udja,CVCCV,CVCjV,hihu,CVCV,CVCV,,,,
"(возглас, которым погоняют овец)_496.0",,,,,,,ɡ'iʃe,CVCV,CVCV,,,,,,,,,,,,,,,,
"(возглас, которым погоняют осла)_509.0",,,,,,,,,,ħːĩ,CV,CV,,,,ħãj,CVC,CVj,,,,,,,
"(возглас, которым погоняют осла)_512.0",,,,,,,,,,,,,,,,,,,q'oʃ,CVC,CVC,,,,
"(возглас, которым погоняют теленка)_516.0",,,,,,,,,,,,,,,,,,,,,,ʕan'aː,CVCV,CVnV,
"(возглас, которым погоняют телят)_528.0",,,,,,,,,,h'ojtsi,CVCCV,CVjCV,,,,,,,,,,,,,
"(возглас, которым погоняют, прогоняют теленка)_539.0",,,,,,,,,,,,,,,,,,,k'utʃi,CVCCV,CVCCV,,,,
"(возглас, которым погоняют, торопят или прогоняют телят)_545.0",,,,,,,,,,,,,,,,ʕ'arija,CVCVCV,CVrVjV,,,,,,,
"(возглас, которым подгоняют корову)_557.0",,,,,,,,,,,,,,,,,,,ʕa,CV,CV,,,,
"(возглас, которым подгоняют, понукают осла)_565.0",ħãj,CVC,CVj,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым подзывают барана)_573.0",,,,,,,,,,k'ujsikujsi,CVCCVCVCCV,CVjCVCVjCV,,,,,,,,,,,,,
"(возглас, которым подзывают быка)_580.0",,,,unsuku'unsuku,VCCVCVVCCVCV,VnCVCVVnCVCV,,,,unsikʲa'unsikʲa,VCCVCVVCCVCV,VnCVCVVnCVCV,,,,,,,,,,,,,
"(возглас, которым подзывают гусей)_590.0",,,,,,,,,,,,,,,,dʒ'imadʒ'ima,CCVCVCCVCV,CCVmVCCVmV,,,,,,,
"(возглас, которым подзывают или останавливают корову)_602.0",,,,,,,,,,,,,,,,,,,t'ãjtʃʷt'ãjtʃʷ,CVCCCCVCCC,CVjCCCVjCC,,,,
"(возглас, которым подзывают или успокаивают крупный рогатый скот)_608.0",,,,,,,,,,,,,,,,tʃiːtʃʷtʃiːtʃʷ,CCVCCCCVCC,CCVCCCCVCC,,,,,,,
"(возглас, которым подзывают коз и козлят)_615.0",,,,,,,,,,,,,,,,,,,,,,ɡitsɡ'its,CVCCVC,CVCCVC,
"(возглас, которым подзывают коз)_624.0",,,,,,,,,,,,,,,,,,,,,,weh'aʔ,CVCVC,wVCVC,
"(возглас, которым подзывают коз)_625.0",,,,ɡ'utsunuɡ'utsunu,CVCVCVCVCVCV,CVCVnVCVCVnV,,,,,,,,,,ɡetsɡ'ets,CVCCVC,CVCCVC,,,,,,,
"(возглас, которым подзывают коз)_627.0",,,,,,,,,,b'etsibetsi,CVCVCVCV,bVCVbVCV,,,,,,,wuːbe,CVCV,wVbV,,,,
"(возглас, которым подзывают коз, козленка)_636.0",,,,,,,,,,ɡud'uɡudu,CVCVCVCV,CVCVCVCV,,,,,,,,,,,,,
"(возглас, которым подзывают козленка)_642.0",,,,,,,,,,,,,,,,ɡedʒ'iɡedʒi,CVCCVCVCCV,CVCCVCVCCV,,,,ɡetsɡets,CVCCVC,CVCCVC,
"(возглас, которым подзывают козлят)_656.0",,,,,,,,,,,,,,,,,,,tsiɡ'eritsiɡeri,CVCVCVCVCVCV,CVCVrVCVCVrV,,,,
"(возглас, которым подзывают коня)_663.0",,,,,,,,,,pbrrtʃːpbrrtʃː,CCCCCCCCCCCC,CbrrCCCbrrCC,,,,,,,,,,,,,
"(возглас, которым подзывают коров)_670.0",,,,hizotʃʷa,CVCVCCV,CVCVCCV,,,,tʃ'int'utʃ'int'u,CCVCCVCCVCCV,CCVnCVCCVnCV,,,,,,,,,,,,,
"(возглас, которым подзывают крупный рогатый скот)_678.0",,,,,,,,,,,,,,,,,,,,,,m'ilmil,CVCCVC,mVlmVl,
"(возглас, которым подзывают кур)_691.0",ɡuriːʃɡur'iʃ,CVCVCCVCVC,CVrVCCVrVC,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым подзывают лошадь)_696.0",,,,,,,,,,d'ubtʃid'ubtʃi,CVCCCVCVCCCV,CVbCCVCVbCCV,,,,,,,d'utʃidutʃi,CVCCVCVCCV,CVCCVCVCCV,d'otʃidotʃi,CVCCVCVCCV,CVCCVCVCCV,
"(возглас, которым подзывают нехологценного барана)_707.0",,,,,,,,,,,,,,,,kubiskubis,CVCVCCVCVC,CVbVCCVbVC,,,,,,,
"(возглас, которым подзывают овец и коз)_717.0",,,,,,,,,,rrej,CCVC,rrVj,,,,,,,,,,,,,
"(возглас, которым подзывают овец)_721.0",,,,,,,d'udududu,CVCVCVCV,CVCVCVCV,,,,,,,,,,,,,,,,
"(возглас, которым подзывают овец)_723.0",ɡir'inɡirin,CVCVCCVCVC,CVrVnCVrVn,ɡir'iɡir'i,CVCVCVCV,CVrVCVrV,,,,,,,,,,q'isq'is,CVCCVC,CVCCVC,,,,χ'isχis,CVCCVC,CVCCVC,
"(возглас, которым подзывают овец)_726.0",,,,,,,,,,b'aqisab'aqisa,CVCVCVCVCVCV,bVCVCVbVCVCV,,,,,,,,,,,,,
"(возглас, которым подзывают овец)_728.0",,,,,,,,,,,,,,,,,,,rroːw,CCVC,rrVw,,,,
"(возглас, которым подзывают осла)_732.0",,,,q''oʃːukuq''oʃːuku,CVCVCVCVCVCV,CVCVCVCVCVCV,,,,q''oʃkʲaq''oʃkʲa,CVCCVCVCCV,CVCCVCVCCV,,,,,,,q'oʃq'oʃq'oʃ,CVCCVCCVC,CVCCVCCVC,q''esq'es,CVCCVC,CVCCVC,
"(возглас, которым подзывают осленка)_742.0",,,,q'atsitsiq'atsitsi,CVCVCVCVCVCV,CVCVCVCVCVCV,,,,,,,,,,,,,,,,,,,
"(возглас, которым подзывают осленка)_743.0",,,,,,,,,,,,,,,,χetɬχetɬ,CVCCCVCC,CVCCCVCC,,,,,,,
"(возглас, которым подзывают осленка)_744.0",,,,,,,,,,t'okʲ'iʃt'okʲ'iʃ,CVCVCCVCVC,CVCVCCVCVC,,,,,,,,,,,,,
"(возглас, которым подзывают собак)_750.0",,,,ɡʷ'ahɡʷah,CVCCVC,CVCCVC,,,,m'ahmah,CVCCVC,mVCmVC,,,,,,,,,,ɡʷ'aɡʷaɡʷ'ahɡʷah,CVCVCVCCVC,CVCVCVCCVC,
"(возглас, которым подзывают собаки)_757.0",,,,,,,ɡʷaɡʷa,CVCV,CVCV,,,,,,,,,,,,,,,,
"(возглас, которым подзывают собаку для кормления)_768.0",,,,,,,,,,,,,,,,mahmah,CVCCVC,mVCmVC,,,,m'ahmah,CVCCVC,mVCmVC,
"(возглас, которым подзывают собаку)_776.0",,,,,,,,,,,,,p'o,CV,CV,,,,,,,,,,
"(возглас, которым подзывают собаку)_779.0",ɡʷ'ahɡʷah,CVCCVC,CVCCVC,,,,,,,,,,,,,ɡʷatʃɡʷ'atʃ,CVCCCVCC,CVCCCVCC,,,,,,,
"(возглас, которым подзывают собаку)_780.0",,,,,,,,,,ɡʷaːɡʷaː,CVCV,CVCV,,,,,,,,,,,,,
"(возглас, которым подзывают теленка)_787.0",,,,hutshuts,CVCCVC,CVCCVC,,,,h'ojtsih'ojtsi,CVCCVCVCCV,CVjCVCVjCV,,,,,,,,,,,,,
"(возглас, которым подзывают теленка, коровы)_793.0",,,,,,,n'iχːo,CVCV,nVCV,,,,,,,,,,,,,,,,
"(возглас, которым подзывают телят)_804.0",,,,,,,,,,,,,,,,,,,,,,kitʃk'itʃ,CVCCCVCC,CVCCCVCC,
"(возглас, которым подзывают телят)_805.0",,,,h'ojtsu,CVCCV,CVjCV,,,,,,,,,,tsiruk,CVCVC,CVrVC,,,,,,,
"(возглас, которым подзывают щенка)_812.0",,,,,,,,,,,,,np'o,CCV,nCV,,,,,,,,,,
"(возглас, которым подзывают щенка)_818.0",,,,,,,,,,,,,,,,,,,ɡ'udirɡ'udir,CVCVCCVCVC,CVCVrCVCVr,,,,
"(возглас, которым подзывают ягненка)_824.0",,,,,,,,,,,,,,,,ɡir'iɡiri,CVCVCVCV,CVrVCVrV,χosiχosi,CVCVCVCV,CVCVCVCV,,,,
"(возглас, которым подзывают ягненка)_825.0",,,,,,,,,,tʃuχː'ulatʃuχː'ula,CCVCVCVCCVCVCV,CCVCVlVCCVCVlV,,,,,,,,,,,,,
"(возглас, которым понукают быка)_833.0",,,,,,,,,,,,,,,,ʕajhʷ'a,CVCCV,CVjCV,ʕajhʷ'a,CVCCV,CVjCV,,,,
"(возглас, которым понукают или останавливают быков)_841.0",,,,hoːha,CVCV,CVCV,,,,,,,,,,,,,,,,,,,
"(возглас, которым понукают коров)_850.0",,,,haj,CVC,CVj,,,,,,,,,,,,,,,,,,,
"(возглас, которым понукают крупный рогатый скот)_860.0",,,,,,,,,,,,,,,,ʕaːj,CVC,CVj,,,,,,,
"(возглас, которым понукают лошадь)_867.0",,,,,,,,,,,,,,,,,,,,,,kʲu,CV,CV,
"(возглас, которым понукают лошадь)_869.0",,,,,,,,,,,,,,,,tʃu,CCV,CCV,h'atʃu,CVCCV,CVCCV,,,,
"(возглас, которым понукают осла)_876.0",,,,,,,,,,,,,,,,,,,,,,ħãj,CVC,CVj,
"(возглас, которым понукают скот)_884.0",,,,,,,,,,,,,haj,CVC,CVj,,,,,,,,,,
"(возглас, которым при пахоте направляют быка вверх)_896.0",,,,,,,,,,,,,,,,ʕ'ajɬalʷ,CVCCVC,CVjCVl,,,,,,,
"(возглас, которым при пахоте направляют быка вниз)_905.0",,,,,,,,,,,,,,,,ʕ'ajhitɬ',CVCCVCC,CVjCVCC,,,,,,,
"(возглас, которым при пахоте поворачивают быков вниз)_917.0",,,,,,,,,,,,,,,,,,,ʕajtɬ''a,CVCCCV,CVjCCV,,,,
"(возглас, которым при пахоте разворачивают быка)_923.0",,,,,,,,,,,,,,,,d'ebuhabe,CVCVCVCV,CVbVCVbV,,,,,,,
"(возглас, которым при пахоте разворачивают быков)_935.0",,,,,,,,,,,,,,,,,,,ʕajtɬ''abuhaba,CVCCCVCVCVCV,CVjCCVbVCVbV,,,,
"(возглас, которым призывают овец)_938.0",,,,,,,,,,,,,tsiχi,CVCV,CVCV,,,,,,,,,,
"(возглас, которым призывают овцу следовать за хозяином)_949.0",,,,ɡiriɡiriha,CVCVCVCVCV,CVrVCVrVCV,,,,,,,,,,,,,,,,,,,
"(возглас, которым прогоняют кошку)_956.0",,,,,,,,,,,,,utʃit',VCCVC,VCCVC,,,,,,,,,,
"(возглас, которым прогоняют кур)_968.0",,,,,,,,,,,,,,,,ɡ'urjaj,CVCCVC,CVrjVj,,,,,,,
"(возглас, которым прогоняют собаку)_978.0",,,,,,,,,,butɬ'i,CVCCV,bVCCV,,,,,,,,,,,,,
"(возглас, которым прогоняют собаку)_980.0",,,,,,,,,,,,,,,,,,,dʒ'ebaχːa,CCVCVCV,CCVbVCV,,,,
"(возглас, которым разворачивают быка в конце борозды)_984.0",,,,,,,,,,,,,,,,,,,,,,busː'aruhabe,CVCVCVCVCV,bVCVrVCVbV,
"(возглас, которым разгоняют коз)_996.0",,,,,,,,,,ʕoj,CVC,CVj,,,,,,,,,,,,,
"(возглас, которым успокаивают овец)_1001.0",,,,,,,,,,,,,tser,CVC,CVr,,,,,,,,,,
"(возглас, предупреждающий о приближении свадебного кортежа)_1009.0",,,,,,,ʕiː,CV,CV,,,,,,,,,,,,,,,,
(возгласить)_1021.0,,,,m'asːi,CVCV,mVCV,,,,,,,,,,,,,,,,,,,
(восторг или сожаление)_1032.0,,,,,,,,,,bukʲ''i,CVCV,bVCV,,,,,,,,,,,,,
(вспомогательный глагол временных форм)_1036.0,,,,ida,VCV,VCV,ɡʷede,CVCV,CVCV,,,,,,,,,,,,,,,,
(вспомогательный глагол временных форм)_1042.0,hatʃ''e,CVCCV,CVCCV,,,,,,,,,,,,,,,,,,,,,,
(вспомогательный глагол при гл. начать сказ)_1051.0,b'aɬaɬa,CVCVCV,bVCVCV,,,,,,,,,,,,,,,,,,,,,,
(вспомогательный глагол)_1054.0,,,,,,,ɡ'odi,CVCV,CVCV,,,,,,,,,,,,,,,,
(вспомогательный глагол)_1056.0,,,,,,,,,,,,,,,,ihla,VCCV,VClV,,,,dʒ'iːla,CCVCV,CCVlV,
(вспомогательный глагол)_1057.0,,,,kum'akɬːi,CVCVCCV,CVmVCCV,,,,,,,,,,,,,,,,,,,
(вспомогательный глагол)_1059.0,,,,,,,,,,biʁ'i,CVCV,bVCV,,,,,,,h'ikʲ'i,CVCV,CVCV,,,,
(выкрик танцующего мужчины)_1067.0,,,,,,,,,,,,,,,,harsː,CVCC,CVrC,,,,,,,
(глагол-связка в составном сказуемом)_1075.0,,,,ida,VCV,VCV,,,,,,,,,,,,,,,,,,,
(глагол-связка)_1081.0,,,,,,,ɡ'odi,CVCV,CVCV,,,,,,,,,,,,,,,,
"(гъва́ла),_1093.0",,,,ʁʷ'ada,CVCV,CVCV,,,,,,,,,,,,,,,,,,,
(звук выдавливания)_1106.0,,,,,,,,,,,,,,,,,,,tʃː'urtɬ'ijaːjɬʲa,CCVCCCVCVCCV,CCVrCCVjVjCV,,,,
(звук выстрела)_1115.0,,,,,,,,,,,,,,,,,,,tɬ'ʷ'aχi,CCVCV,CCVCV,,,,
(звук глухого шлепающего шума)_1124.0,,,,,,,,,,,,,,,,,,,tɬiʃːitɬʷ'aʃːi,CCVCVCCVCV,CCVCVCCVCV,,,,
(звук грохота)_1133.0,,,,,,,,,,,,,,,,,,,dʷ'arʁijaːjɬa,CVCCVCVCCV,CVrCVjVjCV,,,,
(звук довольствия при успехе прыжка)_1136.0,,,,,,,,,,,,,bop'a,CVCV,bVCV,,,,,,,,,,
(звук дудки)_1145.0,,,,,,,,,,,,,zunkir,CVCCVC,CVnCVr,,,,,,,,,,
(звук звонкой пощечины и плетки)_1154.0,,,,,,,,,,,,,,,,s'ʷatɬ',CVCC,CVCC,,,,,,,
(звук недоумения)_1163.0,,,,,,,,,,,,,bep'ero,CVCVCV,bVCVrV,,,,,,,,,,
(звук от выжимания и выдавливания жидкости)_1172.0,,,,,,,,,,,,,ʒʷantʃ'ːi,CVCCCV,CVnCCV,,,,,,,,,,
(звук отсекания ножницами)_1184.0,,,,,,,,,,,,,,,,q'its'ʷ,CVC,CVC,,,,,,,
(звук отсекания ножом или топором)_1193.0,,,,,,,,,,,,,,,,q'it'ʷ,CVC,CVC,,,,,,,
(звук падения человека)_1205.0,,,,,,,,,,,,,,,,,,,dʷ'api,CVCV,CVCV,,,,
(звук шипения жарящегося мяса или жира)_1214.0,,,,,,,,,,,,,,,,,,,tʃːitʃː'ir,CCVCCVC,CCVCCVr,,,,
(звук шмыганья носом)_1223.0,,,,,,,,,,,,,,,,,,,ɬː'ut'i,CVCV,CVCV,,,,
(звук)_1225.0,ɬ'artʃ'u,CVCCCV,CVrCCV,,,,tɬats'ː'o,CCVCV,CCVCV,ɬatʃː'u,CVCCV,CVCCV,,,,ɬas'ʷ,CVC,CVC,ɬ'atʃu,CVCCV,CVCCV,,,,
(звук)_1226.0,,,,,,,,,,,,,hup,CVC,CVC,,,,,,,,,,
(звук)_1227.0,,,,beʃt'i,CVCCV,bVCCV,,,,,,,,,,,,,,,,sas,CVC,CVC,
"(звук, голос)_1241.0",,,,,,,,,,,,,,,,,,,sas,CVC,CVC,,,,
(звука радио)_1245.0,,,,,,,,,,,,,,,,,,,,,,rud'alar,CVCVCVC,rVCVlVr,
(звуке)_1254.0,,,,bit'i,CVCV,bVCV,,,,,,,,,,,,,,,,bel'ab,CVCVC,bVlVb,
(звукоаподражание грохоту падающей доски или балки)_1268.0,,,,,,,,,,,,,,,,,,,dʷarʁ,CVCC,CVrC,,,,
(звукодражание ворчанию)_1277.0,,,,,,,,,,,,,,,,,,,tut'ur,CVCVC,CVCVr,,,,
(звукоподражание блеянию козы)_1283.0,,,,,,,,,,,,,,,,beʔeʔ'e,CVCVCV,bVCVCV,,,,,,,
(звукоподражание блеянию овец)_1293.0,,,,,,,,,,beʕ'e,CVCV,bVCV,,,,,,,,,,,,,
(звукоподражание блеянию овцы)_1301.0,baʕ'aː,CVCV,bVCV,,,,,,,,,,,,,baʕ'a,CVCV,bVCV,,,,,,,
(звукоподражание блеянию)_1309.0,,,,b'eʕeʔe,CVCVCV,bVCVCV,,,,,,,,,,,,,,,,,,,
(звукоподражание бормотанию)_1320.0,,,,,,,,,,dundus'i,CVCCVCV,CVnCVCV,,,,,,,,,,,,,
(звукоподражание брожению браги)_1330.0,tʃ''irtʃ'iri,CCVCCCVCV,CCVrCCVrV,,,,,,,,,,,,,,,,,,,,,,
"(звукоподражание брызгу, плевку сквозь зубы, струйке молока из вымени или груди)_1334.0",,,,,,,,,,,,,,,,tsitɬ',CVCC,CVCC,,,,,,,
